#hg18.kgXref.kgID	hg18.kgXref.geneSymbol	hg18.knownToLocusLink.value
uc001azu.2	CROCC	9696
uc009voz.1	KIAA0445	9696
uc009voy.1	KIAA0445	9696
uc001azv.2	KIAA0445	9696
uc001bah.1	PADI1	29943
uc009vpb.1	hPAD-colony10	29943
uc001bai.1	PADI3	51702
uc001baj.1	PADI4	23569
uc009vpc.1	PADI4	23569
uc001bak.1	PADI6	353238
uc001ban.1	ARHGEF10L	55160
uc001bao.1	ARHGEF10L	55160
uc001bap.1	ARHGEF10L	55160
uc009vpe.1	ARHGEF10L	55160
uc001baq.1	ARHGEF10L	55160
uc001bar.1	ARHGEF10L	55160
uc009vpf.1	KIAA1626	55160
uc001bas.1	KIAA1626	55160
uc009vpd.1	AK129959	55160
uc001bat.1	ACTL8	81569
uc001bau.1	IGSF21	84966
uc001bav.1	IGSF21	84966
uc001baw.1	AX747631	n/a
uc001bax.1	KLHDC7A	127707
uc009vpg.1	KLHDC7A	127707
uc001bay.1	PAX7	5081
uc001baz.1	PAX7	5081
uc001bbs.1	MRTO4	51154
uc001bby.1	PQLC2	54896
uc001bca.1	PQLC2	54896
uc001bbz.1	PQLC2	54896
uc009vpj.1	PQLC2	54896
uc001bcc.1	PQLC2	54896
uc001bcb.1	PQLC2	54896
uc001bcj.1	NBL1	4681
uc001bck.1	NBL1	4681
uc001bci.1	C1orf151	440574
uc009vpl.1	NBL1	4681
uc009vpm.1	NBL1	4681
uc001bch.1	C1orf151	440574
uc001bcl.1	HTR6	3362
uc001bcs.2	OTUD3	23252
uc001bcy.1	PLA2G5	5322
uc001bcw.1	PLA2G5	5322
uc001bcx.1	PLA2G5	5322
uc009vpp.1	PLA2G2F	64600
uc001bdb.1	UBXN10	127733
uc009vpr.1	UBXN10	127733
uc009vps.1	VWA5B1	127731
uc001bde.2	VWA5B1	127731
uc009vpt.1	VWA5B1	127731
uc001bdd.1	VWA5B1	127731
uc001bdj.1	FAM43B	163933
uc001bdk.1	CDA	978
uc001bdl.1	CDD	978
uc009vpv.1	CDD	978
uc001bdm.1	PINK1	65018
uc001bdn.1	PINK1	65018
uc001beo.1	CR625155	n/a
uc001beq.1	BC127868	n/a
uc001ber.1	NBPF3	84224
uc001bes.1	NBPF3	84224
uc009vqb.1	NBPF3	84224
uc001bet.1	ALPL	249
uc001beu.2	ALPL	249
uc001bfg.1	LDLRAD2	401944
uc001bfh.1	LDLRAD2	401944
uc001bfk.1	ELA3B	23436
uc001bfl.1	ELA3A	10136
uc009vqf.1	ELA3B	23436
uc001bfn.2	HSPC157	29092
uc001bfm.2	HSPC157	29092
uc001bfq.1	CDC42	998
uc001bfp.1	CDC42	998
