#hg17.kgXref.kgID	hg17.kgXref.geneSymbol	hg17.knownToLocusLink.value
AB037765	AB037765	57544
AB037766	AB037766	n/a
AB037774	AB037774	n/a
AB037781	AB037781	55681
AB037781	AB037781	55681
AB037789	AB037789	57556
AB037789	AB037789	57556
AB037789	AB037789	57556
AB037789	SEMA6A	57556
AB037791	AB037791	56204
AB037794	AB037794	57559
AB037808	AB037808	57223
AB037808	AB037808	57223
AB037819	RRBP1	6238
AB037821	AB037821	57575
AB037832	AB037832	57579
AB037832	AB037832	57579
AB037832	AB037832	57579
AB037833	AB037833	23670
AB037833	AB037833	23670
AB037833	AB037833	23670
AB037835	AB037835	54497
AB037839	AB037839	55627
AB037840	AB037840	89797
AB037840	AB037840	89797
AB037844	AB037844	n/a
AB037860	NFIA	4774
AB037861	AB037861	n/a
AB037863	AB037863	n/a
AB037902	AB037902	n/a
AB038041	AB038041	50940
AB039667	MLH3	27030
AB039667	AB039667	27030
AB039791	AB039791	n/a
AB039886	GKN1	56287
AB039921	AB039921	56938
AB040046	AB040046	83878
AB040057	AB040057	51765
AB040413	AB040413	387254
AB040529	MAGED4	81557
AB040748	AQP12	n/a
AB040820	AB040820	83592
AB040821	AB040821	83592
AB040822	AB040822	83592
AB040875	AB040875	23657
AB040881	AB040881	23095
AB040883	AB040883	n/a
AB040885	POLR3E	55718
AB040895	AB040895	n/a
AB040895	AB040895	n/a
AB040896	AB040896	57609
AB040909	BAZ2B	29994
AB040937	AB040937	112479
AB040942	AB040942	n/a
AB040944	ZSWIM5	n/a
AB040945	AB040945	57644
AB040946	AB040946	57645
AB040949	AB040949	51196
AB040949	AB040949	51196
AB040951	AB040951	25959
AB040953	AB040953	23457
AB040956	AB040956	57649
AB040957	AB040957	57650
AB040959	AB040959	25861
AB040962	AB040962	57653
AB040964	GPR124	25960
AB041015	AB041015	49854
AB041019	AB041019	51072
AB041833	PQBP1	10084
AB042199	ARHGEF4	50649
AB042326	CHST11	50515
AB042648	MYO18B	84700
AB042648	AB042648	84700
AB042824	RECQL5	9400
AB042841	TP73L	8626
AB043820	AB043820	51206
AB043821	GP6	51206
AB044555	PARD6B	84612
AB044556	PARD6G	84552
AB044561	AB044561	51380
AB044745	AB044745	55885
AB044805	PFKFB2	5208
AB044806	AB044806	3757
AB044807	AB044807	10207
AB044945	NDRG4	65009
AB045369	HRH3	11255
AB045726	AB045726	22999
AB045733	AB045733	10210
AB045830	AB045830	63970
AB045831	AB045831	63970
AB046399	AB046399	6317
AB046400	AB046400	6318
AB046767	TLE3	7090
AB046775	AB046775	59269
AB046778	AB046778	55291
AB046778	AB046778	55291
AB046778	AB046778	55291
AB046778	AB046778	55291
AB046784	AB046784	57680
AB046785	AB046785	51199
AB046787	AB046787	192670
AB046810	C20orf23	55614
