ucsc_gene	entrez_gene
uc001cvs.3	55706
uc001cvu.3	54432
uc001cwb.3	1733
uc001cwh.3	51668
uc001cwj.1	115353
uc001cwm.1	388633
uc001cwp.3	9528
uc001cwt.1	127428
uc001cwv.1	200008
uc001cxa.4	51253
uc001cxe.3	23648
uc001cxl.2	26027
uc001cxn.3	338094
uc001cxx.4	7268
uc001cxy.3	25973
uc001cyb.4	163747
uc001cyc.1	1718
uc001cyd.3	199964
uc001cye.3	7809
uc001cyf.2	255738
uc001cyj.2	8613
uc001cyk.4	5563
uc001cym.4	199920
uc001cyo.2	731
uc001cyp.3	732
uc001cys.1	1600
uc001cyy.3	115209
uc001cyz.4	4070
uc001cze.3	3725
uc001czo.3	51361
uc001czq.3	1573
uc001czs.2	127795
uc001czz.1	83941
uc001dab.3	10207
uc001dah.4	163782
uc001dak.2	7398
uc001dap.3	85440
uc001das.1	27329
uc001dau.3	84938
uc001dbb.2	23421
uc001dbf.3	84455
uc001dbj.2	4919
uc001dbn.1	148581
uc001dbo.1	57685
uc001dbs.2	55225
uc001dbu.1	3716
uc001dby.3	205
uc001dcd.1	9829
uc001dcf.3	54741
uc001dci.3	3953
uc001dco.3	5142
uc001dcr.3	84251
uc001dcv.3	200132
uc001dcw.3	10022
uc001dcx.3	79819
uc001dde.2	57708
uc001ddk.2	23169
uc001ddl.1	400757
uc001ddo.3	149233
uc001ddu.3	3595
uc001ddv.3	26135
uc001ddz.2	1647
uc001dea.2	55970
uc001ded.3	9077
uc001def.2	79971
uc001dei.1	6121
uc001dem.4	55635
uc001dep.3	57554
uc001der.2	55631
uc001des.3	9295
uc001dex.4	81573
uc001dfd.3	1491
uc001dfo.3	5733
uc001dft.3	9406
uc001dfw.3	257194
uc001dfy.4	127255
uc001dge.2	100526835
uc001dgg.3	127254
uc001dgj.3	1429
uc001dgn.3	127253
uc001dgo.3	431707
uc001dgu.3	204962
uc001dgy.1	5876
uc001dhd.2	4438
uc001dhe.2	127247
uc001dhh.2	256435
uc001dhi.3	81849
uc001dhk.3	10026
uc001dhn.3	26289
uc001dhq.3	26009
uc001dht.3	23032
uc001dhx.3	374986
uc001dic.4	91624
uc001dii.3	8880
uc001dij.3	11080
uc001dik.3	54810
uc001din.3	5737
uc001dip.4	10561
uc001diq.4	64123
uc001diu.3	23266
uc001djc.3	79739
uc001djl.3	5567
uc001djr.3	148418
uc001djs.3	148418
uc001djt.1	58511
uc001djv.4	80135
uc001djw.4	2787
uc001dka.2	1486
uc001dkj.3	117178
uc001dkm.3	255231
uc001dkp.3	55283
uc001dkt.3	126820
uc001dkv.3	148423
uc001dlb.3	23576
uc001dle.3	3491
uc001dlh.3	54680
uc001dlj.3	255631
uc001dll.2	57489
uc001dlr.4	9635
uc001dlt.3	1179
uc001dly.3	51100
uc001dmn.3	5586
uc001dmo.4	2959
uc001dmp.2	56267
uc001dmt.3	2635
uc001dmx.2	2633
uc001dmz.1	2634
uc001dna.2	388646
uc001dnb.3	115361
uc001dnd.3	115362
uc001dnf.2	163351
uc001dni.3	23507
uc001dnl.4	84230
uc001dnn.3	55144
uc001dnq.2	284695
uc001dns.3	343472
uc001dnw.3	84146
uc001doa.4	164045
uc001dof.3	8317
uc001doh.3	7049
uc001dom.4	676
uc001don.2	253152
uc001doo.3	284697
uc001doq.3	388649
uc001dor.3	11146
uc001dot.2	79871
uc001dov.4	2672
uc001dox.3	7813
uc001doz.3	6125
uc001dpg.3	388650
uc001dpn.3	50999
uc001dpu.3	1810
uc001dqa.3	8412
